iter	RMSE
0	0.5079722534
1	0.4896351646
2	0.4718541192
3	0.4564038157
4	0.4413872494
5	0.4270611246
6	0.4143097235
7	0.4014116707
8	0.3895216267
9	0.3787628898
10	0.3689743957
11	0.3594704853
12	0.3503596225
13	0.3423672456
14	0.3345146249
15	0.3274664041
16	0.3209478062
17	0.3154750928
18	0.3099448287
19	0.3051215399
20	0.300009836
21	0.2955294987
22	0.2915299327
23	0.2878294297
24	0.2846848979
25	0.2809517936
26	0.2780168863
27	0.2751220235
28	0.272631043
29	0.2700553915
30	0.2678612434
31	0.2656242673
32	0.2637514512
33	0.2617292682
34	0.2600641864
35	0.2584614394
36	0.2569903918
37	0.2557929205
38	0.2545167351
39	0.2534654895
40	0.252275814
41	0.2511706798
42	0.2500302624
43	0.2490550531
44	0.2482438683
45	0.2474115047
46	0.2465950106
47	0.2458545208
48	0.244993165
49	0.2444104005
50	0.2437274279
51	0.2430633332
52	0.242307846
53	0.2418727575
54	0.2413213211
55	0.2408954888
56	0.2403982882
57	0.2400249863
58	0.2396235239
59	0.2392910277
60	0.2389200345
61	0.2385918351
62	0.2380682241
63	0.2375489343
64	0.2372611897
65	0.2369293418
66	0.2365258697
67	0.2362587112
68	0.235948165
69	0.2356384709
70	0.2354291678
71	0.2352412204
72	0.2350635774
73	0.2346473262
74	0.2343283413
75	0.234127905
76	0.2339067729
77	0.2337322072
78	0.2333192919
79	0.2330942697
80	0.2327906788
81	0.2325659592
82	0.2323117833
83	0.2319356281
84	0.2315655827
85	0.2311845858
86	0.2308236224
87	0.2306802861
88	0.2305191285
89	0.2303201938
90	0.2300554908
91	0.2299510773
92	0.2296978852
93	0.2295479632
94	0.229394665
95	0.2293172777
96	0.2292053455
97	0.2290441317
98	0.2289344753
99	0.2288233949
100	0.228605988
101	0.2284900947
102	0.2283615813
103	0.2281763524
104	0.2280952193
105	0.227954128
106	0.2277720889
107	0.2276703779
108	0.2276195624
109	0.2274400233
110	0.2273509288
111	0.2272122366
112	0.226991778
113	0.2268281273
114	0.226699745
115	0.2266500442
116	0.2266412368
117	0.2264859114
118	0.2263706687
119	0.2262511079
120	0.2261034525
121	0.2258635961
122	0.2257418296
123	0.2256022722
124	0.2255141532
125	0.2252922966
126	0.2251062165
127	0.2248810258
