iter	Passed	Remaining
0	48	48518
1	50	25144
2	52	17301
3	53	13407
4	55	11055
5	57	9485
6	58	8363
7	60	7505
8	62	6888
9	65	6504
10	67	6051
11	68	5672
12	70	5349
13	72	5073
14	73	4833
15	75	4623
16	76	4438
17	78	4273
18	79	4125
19	81	3992
20	83	3872
21	84	3762
22	86	3662
23	87	3572
24	89	3488
25	91	3409
26	92	3337
27	94	3271
28	95	3208
29	97	3149
30	98	3093
31	100	3042
32	102	2993
33	103	2948
34	105	2906
35	107	2865
36	108	2827
37	110	2791
38	111	2754
39	113	2720
40	114	2688
41	116	2657
42	118	2628
43	119	2600
44	121	2572
45	122	2546
46	124	2520
47	125	2496
48	127	2473
49	128	2450
50	130	2428
51	132	2407
52	133	2387
53	135	2368
54	136	2349
55	138	2331
56	139	2314
57	141	2297
58	143	2281
59	144	2264
60	146	2249
61	147	2234
62	149	2222
63	151	2208
64	152	2194
65	154	2181
66	155	2169
67	163	2235
68	168	2274
69	172	2297
70	176	2306
71	181	2339
72	185	2359
73	189	2371
74	193	2380
75	197	2402
76	201	2413
77	204	2419
78	208	2430
79	212	2442
80	219	2489
81	225	2525
82	230	2544
83	234	2556
84	239	2574
85	243	2588
86	248	2603
87	249	2587
88	251	2572
89	252	2556
90	254	2541
91	255	2526
92	257	2512
93	259	2497
94	260	2484
95	262	2469
96	263	2455
97	265	2442
98	266	2429
99	268	2416
100	270	2404
101	271	2391
102	273	2379
103	274	2366
104	276	2355
105	277	2343
106	279	2331
107	280	2320
108	282	2306
109	283	2295
110	285	2284
111	286	2274
112	288	2264
113	290	2254
114	291	2244
115	293	2234
116	294	2219
117	295	2209
118	297	2199
119	298	2190
120	300	2181
121	301	2172
122	303	2163
123	305	2154
124	306	2146
125	308	2138
126	309	2129
127	311	2121
128	312	2113
129	314	2104
130	316	2096
131	317	2089
132	319	2082
133	321	2075
134	322	2067
135	324	2059
136	325	2052
137	327	2045
138	328	2037
139	330	2030
140	332	2023
141	333	2016
142	335	2008
143	336	2002
144	338	1995
145	339	1988
146	341	1981
147	343	1974
148	344	1967
149	346	1961
150	347	1954
151	349	1948
152	350	1941
153	353	1942
154	355	1937
155	357	1932
156	358	1926
157	360	1920
158	362	1915
159	363	1909
160	365	1904
161	367	1898
162	368	1890
163	369	1884
164	371	1878
165	372	1872
166	374	1867
167	375	1861
168	377	1856
169	379	1850
170	380	1846
171	382	1840
172	383	1835
173	385	1830
174	387	1825
175	388	1819
176	390	1814
177	391	1807
178	393	1803
179	394	1798
180	396	1793
181	398	1789
182	399	1785
183	401	1780
184	402	1775
185	404	1770
186	406	1765
187	407	1760
188	409	1755
189	410	1750
190	412	1746
191	413	1741
192	415	1737
193	417	1732
194	418	1727
195	420	1723
196	421	1719
197	423	1714
198	424	1709
199	426	1705
200	427	1701
201	429	1696
202	431	1692
203	432	1687
204	434	1683
205	435	1679
206	437	1675
207	438	1671
208	440	1667
209	442	1663
210	443	1659
211	445	1655
212	446	1651
213	448	1647
214	450	1644
215	451	1639
216	453	1635
217	454	1632
218	456	1627
219	458	1624
220	459	1620
221	461	1616
222	462	1612
223	464	1608
224	465	1603
225	467	1599
226	468	1596
227	470	1592
228	471	1588
229	473	1585
230	475	1581
231	476	1577
232	478	1574
233	479	1570
234	482	1571
235	486	1576
236	491	1581
237	495	1587
238	500	1592
239	504	1596
240	508	1600
241	512	1604
242	516	1608
243	519	1610
244	523	1613
245	527	1615
246	531	1620
247	535	1624
248	545	1646
249	555	1666
250	557	1663
251	559	1659
252	560	1655
253	562	1651
254	563	1647
255	565	1643
256	567	1639
257	568	1635
258	570	1631
259	571	1627
260	573	1623
261	574	1619
262	576	1615
263	578	1611
264	579	1607
265	581	1604
266	582	1600
267	584	1596
268	585	1592
269	587	1588
270	589	1584
271	590	1580
272	592	1577
273	595	1577
274	597	1575
275	599	1572
276	601	1569
277	602	1565
278	604	1562
279	606	1558
280	608	1556
281	610	1554
282	612	1550
283	613	1547
284	615	1543
285	616	1539
286	618	1536
287	620	1532
288	621	1529
289	623	1525
290	624	1522
291	626	1519
292	628	1515
293	630	1513
294	632	1510
295	634	1508
296	635	1504
297	637	1501
298	638	1498
299	640	1495
300	642	1491
301	643	1488
302	645	1485
303	647	1481
304	648	1478
305	650	1475
306	652	1472
307	654	1469
308	655	1466
309	657	1463
310	658	1459
311	660	1456
312	662	1453
313	664	1452
314	667	1450
315	668	1448
316	670	1444
